\ VHE gamma-ray spectrum of RX J1713.7-3946
\
\ Originally published in 2007 from 2003, 2004, and 2005 observations. The
\ spectrum here is as published in the 2011 erratum
\ Main paper: Aharonian et al. 2007, A&A 464, 235
\ Erratum: Aharonian et al. 2011, A&A 531, 1
\ Confidence level of upper limits is 2 sigma
\
\cl=0.95
|energy|energy_edge_lo|energy_edge_hi|           flux|     flux_error|  ul|
|double|        double|        double|         double|         double|long|
|   TeV|           TeV|           TeV|1 / (cm2 s TeV)|1 / (cm2 s TeV)|    |
   0.33            0.3           0.37        2.29e-10         3.2e-11    0 
    0.4           0.37           0.44        1.25e-10         1.6e-11    0 
   0.49           0.44           0.54        9.46e-11           9e-12    0 
   0.59           0.54           0.65        6.06e-11         5.2e-12    0 
   0.71           0.65           0.79        4.37e-11         3.1e-12    0 
   0.86           0.79           0.95        2.15e-11         1.8e-12    0 
   1.04           0.95           1.15        1.82e-11         1.1e-12    0 
   1.26           1.15           1.39        1.17e-11           7e-13    0 
   1.53           1.39           1.69        8.87e-12           5e-13    0 
   1.85           1.69           2.04        5.63e-12         3.3e-13    0 
   2.24           2.04           2.47        3.78e-12         2.3e-13    0 
   2.71           2.47           2.99        2.49e-12         1.6e-13    0 
   3.28           2.99           3.63        1.64e-12         1.1e-13    0 
   3.98           3.63           4.39        1.04e-12           8e-14    0 
   4.81           4.39           5.31        7.48e-13         5.7e-14    0 
   5.82           5.31           6.43        4.34e-13           4e-14    0 
   7.05           6.43           7.79        2.32e-13           3e-14    0 
   8.53           7.79           9.43        1.25e-13           2e-14    0 
  10.33           9.43          11.41        1.07e-13         1.4e-14    0 
  12.51          11.41          13.81        5.61e-14         9.7e-15    0 
  15.14          13.81          16.72        2.17e-14         6.9e-15    0 
  18.32          16.72          20.24        1.84e-14         4.6e-15    0 
  22.18          20.24           24.5        9.24e-15        3.16e-15    0 
  26.85           24.5          29.66         7.4e-15        2.06e-15    0 
   32.5          29.66          35.91        6.46e-15         1.5e-15    0 
  47.19          35.91          63.71        9.63e-16        3.93e-16    0 
  81.26          63.71         113.02        1.98e-16        1.29e-16    0 
 169.79         113.02         293.82        1.35e-16             0.0    1 
